Date,Revenue,COGS
2023-12-30,4343772.38,4557927.75
2023-12-31,3985867.38,4168391.11
2024-01-01,3850552.7,3625427.74
2024-01-02,2237032.5,1959711.93
2024-01-03,1555160.89,1306968.58
2024-01-04,1564672.89,1273158.07
2024-01-05,1781458.4,1436197.38
2024-01-06,1957158.39,1613129.22
2024-01-07,2115687.94,1772709.19
2024-01-08,2327780.31,1910563.57
2024-01-09,2432765.17,1986930.51
2024-01-10,2424281.92,1966160.18
2024-01-11,2417059.88,1961613.72
2024-01-12,2392363.58,1949658.9
2024-01-13,2601291.93,2133971.92
2024-01-14,2561226.93,2151749.45
2024-01-15,2580625.07,2156220.11
2024-01-16,2793920.45,2272186.35
2024-01-17,2729529.52,2223163.69
2024-01-18,2571714.45,2069384.66
2024-01-19,2470297.69,2020639.58
2024-01-20,2719223.08,2209933.39
2024-01-21,2908317.79,2385092.39
2024-01-22,2933077.28,2448152.81
2024-01-23,3091228.73,2554098.13
2024-01-24,3174422.04,2620098.92
2024-01-25,3071675.62,2529151.55
2024-01-26,3371813.49,2744212.41
2024-01-27,3905030.95,3188868.49
2024-01-28,4692377.58,3865806.23
2024-01-29,4990607.99,4072768.33
2024-01-30,4837238.26,3960445.48
2024-01-31,4203613.85,3468743.86
2024-02-01,3457741.47,2752586.03
2024-02-02,2598347.76,2045666.24
2024-02-03,1991533.65,1602106.15
2024-02-04,2180347.73,1745956.24
2024-02-05,2559629.05,2056244.39
2024-02-06,2754777.38,2208049.4
2024-02-07,2818347.81,2252234.99
2024-02-08,2641269.61,2133231.2
2024-02-09,2641342.77,2070925.85
2024-02-10,2749670.63,2186415.05
2024-02-11,2959215.01,2387145.81
2024-02-12,3257122.39,2634054.63
2024-02-13,3498459.99,2810026.62
2024-02-14,3672142.19,2971778.53
2024-02-15,3295050.6,2630475.59
2024-02-16,3278026.34,2603426.87
2024-02-17,3392095.28,2686154.63
2024-02-18,3532071.17,2859728.0
2024-02-19,3725660.09,3038542.46
2024-02-20,4115057.58,3305272.84
2024-02-21,3934636.61,3197505.88
2024-02-22,3915714.04,3151356.71
2024-02-23,4320343.25,3434205.3
2024-02-24,4588344.44,3669344.71
2024-02-25,5798569.07,4643455.65
2024-02-26,5928399.74,4809937.73
2024-02-27,5804139.59,4719106.02
2024-02-28,4926066.83,3970940.39
2024-02-29,1864017.12,1637057.76
2024-03-01,2993642.56,2421240.17
2024-03-02,2281513.29,1867517.07
2024-03-03,1668706.14,1385068.47
2024-03-04,2415605.54,1948165.75
2024-03-05,2928986.01,2370550.61
2024-03-06,3507173.68,2813314.45
2024-03-07,3540498.61,2850104.56
2024-03-08,3827917.15,3025522.97
2024-03-09,3987831.47,3184304.64
2024-03-10,4240080.79,3384528.45
2024-03-11,4638257.16,3707549.14
2024-03-12,4861009.56,3950952.69
2024-03-13,5000558.43,4036409.17
2024-03-14,5165961.61,4156205.04
2024-03-15,5104655.96,4049953.75
2024-03-16,5104085.7,4087314.8
2024-03-17,5766330.35,4583953.58
2024-03-18,5934452.77,4818296.01
2024-03-19,5574352.5,4576394.9
2024-03-20,5676284.32,4803362.4
2024-03-21,5381873.57,4636658.49
2024-03-22,5253055.84,4556242.26
2024-03-23,5566328.26,4867594.32
2024-03-24,5921474.09,5220540.97
2024-03-25,6078122.43,5365725.28
2024-03-26,6177002.34,5444910.13
2024-03-27,6317983.07,5576444.83
2024-03-28,6173021.23,5398586.59
2024-03-29,6292208.75,5492828.15
2024-03-30,11917563.6,10472226.39
2024-03-31,11216750.32,10225505.52
2024-04-01,10124082.66,9667997.85
2024-04-02,9572739.27,9049950.5
2024-04-03,8731447.88,8276678.89
2024-04-04,3360846.92,3146261.82
2024-04-05,3183264.51,2932785.91
2024-04-06,3578702.77,3336062.12
2024-04-07,3840463.91,3648573.86
2024-04-08,4193904.26,3978062.22
2024-04-09,4722293.8,4495663.66
2024-04-10,4812304.2,4610106.56
2024-04-11,4922401.75,4698736.01
2024-04-12,4615332.69,4414955.81
2024-04-13,5139891.9,4901590.25
2024-04-14,5559306.37,5268225.95
2024-04-15,5681689.47,5238420.5
2024-04-16,5982801.84,5303881.28
2024-04-17,6373445.92,5565389.68
2024-04-18,5980498.51,5028689.24
2024-04-19,5704843.01,4789490.37
2024-04-20,5877395.13,4985946.9
2024-04-21,5949209.51,5082758.45
2024-04-22,6187200.16,5283289.56
2024-04-23,6754051.62,5707929.12
2024-04-24,6826873.79,5853741.76
2024-04-25,6913916.42,5784067.9
2024-04-26,6982321.9,5831960.14
2024-04-27,8108745.41,6792851.22
2024-04-28,8729918.35,7376595.9
2024-04-29,11465004.93,9635395.45
2024-04-30,10318549.79,8814732.19
2024-05-01,9306804.5,7940032.18
2024-05-02,7891204.89,6737717.89
2024-05-03,6242753.84,5293636.43
2024-05-04,3269446.71,2812689.73
2024-05-05,4009197.17,3367415.33
2024-05-06,4176731.3,3577893.48
2024-05-07,4811597.93,4136673.54
2024-05-08,4815067.32,4138621.63
2024-05-09,5144012.86,4372016.03
2024-05-10,5208100.65,4362321.04
2024-05-11,5152556.44,4340754.19
2024-05-12,5662945.78,4818421.16
2024-05-13,5863964.31,5002849.6
2024-05-14,6270142.87,5368640.67
2024-05-15,6384532.74,5479615.82
2024-05-16,6233161.98,5283485.88
2024-05-17,6131051.36,5141168.56
2024-05-18,5920739.05,5004269.63
2024-05-19,6027497.87,5120425.02
2024-05-20,5979935.34,5122273.28
2024-05-21,6214888.06,5318503.61
2024-05-22,6546023.07,5574582.82
2024-05-23,6607819.46,5687471.38
2024-05-24,6225665.24,5247512.21
2024-05-25,6415884.88,5401835.02
2024-05-26,6611445.95,5644532.41
2024-05-27,6432718.35,5529728.53
2024-05-28,7044584.67,5990929.94
2024-05-29,7502032.91,6397588.86
2024-05-30,12003103.62,10236888.17
2024-05-31,11634081.61,9802988.83
2024-06-01,11330656.54,9613785.86
2024-06-02,10219083.0,8729526.19
2024-06-03,9127990.09,7825911.57
2024-06-04,4582174.25,3918936.91
2024-06-05,4805276.32,4019513.66
2024-06-06,4773908.03,4003615.56
2024-06-07,4719057.79,3946676.14
2024-06-08,5143797.53,4294391.42
2024-06-09,5168023.4,4333046.65
2024-06-10,5625532.65,4695226.43
2024-06-11,5853047.24,4869357.72
2024-06-12,5798194.27,4986644.47
2024-06-13,5570772.2,4782976.44
2024-06-14,5819707.91,4959456.89
2024-06-15,5973830.3,5115012.85
2024-06-16,6242934.3,5385449.41
2024-06-17,6315809.95,5386592.98
2024-06-18,6337231.68,5389438.78
2024-06-19,6062598.58,5199983.74
2024-06-20,5491007.84,4689795.59
2024-06-21,5651131.38,4808505.0
2024-06-22,6100895.37,5194879.62
2024-06-23,6009962.34,5231900.96
2024-06-24,6268485.79,5644338.27
2024-06-25,6202595.74,5763142.41
2024-06-26,6192995.39,5946219.18
2024-06-27,6011823.22,5893901.85
2024-06-28,6287088.63,6198548.96
2024-06-29,8744581.94,8725569.37
2024-06-30,7625955.8,7722455.99
2024-07-01,6985548.05,7477408.61
